"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl","entrez","go_id","uniprotswissprot"
"YOL086C",50467.6710558935,-0.522005698969034,0.11105569375385,-4.70039564226249,2.5965792472785e-06,1.15807434428621e-05,"YOL086C",854068,"GO:0019170","P00330"
"YJL052W",36231.6918948769,0.744559455113878,0.112548064834949,6.61547985037122,3.70348431317019e-11,2.87467341984253e-10,"YJL052W",853395,"GO:0004365","P00360"
"YER055C",4396.94005299873,-0.630724519059274,0.115765173905733,-5.44830969262714,5.0850760829486e-08,3.02392524399343e-07,"YER055C",856782,"GO:0000105","P00498"
"YPL111W",1349.2692122783,-0.783372593415168,0.165569350797472,-4.73138651351848,2.22991471659904e-06,1.01483873837058e-05,"YPL111W",855993,"GO:0004053","P00812"
"YCL030C",7188.19527387808,-1.68994606579277,0.113688263626398,-14.8647363578907,5.58342552166548e-50,2.075173152219e-48,"YCL030C",850327,"GO:0004635","P00815"
"YJR121W",15019.1392617117,0.241665974538196,0.100017811659508,2.41622937483278,0.0156821788909757,0.0325314036529078,"YJR121W",853585,"GO:1902600","P00830"
"YNR001C",3580.89121724826,0.584885503601991,0.167390858405887,3.49413049895335,0.000475608473503518,0.00139553538935901,"YNR001C",855732,"GO:0004108","P00890"
"YER090W",3122.32883995833,-0.84600249381252,0.0850764697491985,-9.94402443244878,2.67784907048911e-23,4.52395915378599e-22,"YER090W",856824,"GO:0004049","P00899"
"YER086W",4733.2881582889,-0.587085708466646,0.0872101092644329,-6.73185383458839,1.67514880159105e-11,1.35839339183565e-10,"YER086W",856819,"GO:0004794","P00927"
"YGL026C",2970.65209350498,-0.930481424518459,0.0976369393231388,-9.53001426477475,1.57261619023926e-21,2.33795606948904e-20,"YGL026C",852858,"GO:0004834","P00931"
"YBR009C",9693.19670664564,0.404544423670395,0.145277739975228,2.78462773264077,0.00535892092154435,0.0121942792398407,"YBR009C",852294,"GO:0000786","P02309"
"YNL030W",9693.19670664564,0.404544423670395,0.145277739975228,2.78462773264077,0.00535892092154435,0.0121942792398407,"YNL030W",852294,"GO:0000786","P02309"
"YDR382W",11986.2883014716,0.828185847582854,0.0980836881913344,8.44366543361716,3.07538605667744e-17,3.70708697642741e-16,"YDR382W",851990,"GO:0006414","P02400"
