"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl","entrez","go_id","uniprotswissprot"
"YLR421C",2105.69525952561,-0.0809268779562766,0.123484279276548,-0.655361787187806,0.512234848323838,0.588806036990804,"YLR421C",851140,"GO:0061133","O13563"
"YPL249C-A",26886.9171378843,0.280762135774822,0.163961487719235,1.71236635920013,0.0868291745546122,0.139804374914646,"YPL249C-A",855826,"GO:0005840","O14455"
"YOR298C-A",7826.31477606729,0.0856019858363857,0.0935070741792248,0.915459996880157,0.359950193897475,0.443474548282524,"YOR298C-A",854474,"GO:0003713","O14467"
"YOL086C",50467.6710558935,-0.522005698969034,0.11105569375385,-4.70039564226249,2.5965792472785e-06,1.15807434428621e-05,"YOL086C",854068,"GO:0019170","P00330"
"YJL052W",36231.6918948769,0.744559455113878,0.112548064834949,6.61547985037122,3.70348431317019e-11,2.87467341984253e-10,"YJL052W",853395,"GO:0004365","P00360"
"YJR104C",28564.2355311871,0.0975746470526207,0.137731542374133,0.708440821693332,0.478671549700472,0.561809239911606,"YJR104C",853568,"GO:0050821","P00445"
"YER055C",4396.94005299873,-0.630724519059274,0.115765173905733,-5.44830969262714,5.0850760829486e-08,3.02392524399343e-07,"YER055C",856782,"GO:0000105","P00498"
"YBR160W",1044.07931025222,0.0791673075263614,0.195794929682835,0.404337883798131,0.685964270964526,0.73898566388932,"YBR160W",852457,"GO:0010898","P00546"
"YAL038W",73640.1214880278,0.153859762554514,0.111085584265215,1.38505606800588,0.166035323803695,0.239649690668117,"YAL038W",851193,"GO:0003824","P00549"
"YCR012W",85065.8177320965,-0.0582921271510754,0.0781725443113279,-0.745685427852044,0.455857463940879,0.539290262380986,"YCR012W",850370,"GO:0004618","P00560"
"YPL111W",1349.2692122783,-0.783372593415168,0.165569350797472,-4.73138651351848,2.22991471659904e-06,1.01483873837058e-05,"YPL111W",855993,"GO:0004053","P00812"
