"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl","entrez","go_id","uniprotswissprot"
"YLR421C",2105.69525952561,-0.0329327283142617,0.123533337946362,-0.266589803705951,0.789785007071107,0.984638338453376,"YLR421C",851140,"GO:0061133","O13563"
"YPL249C-A",26886.9171378843,-0.116468039626107,0.163937860544175,-0.710440158481414,0.477431227506458,0.983401633581396,"YPL249C-A",855826,"GO:0005840","O14455"
"YOR298C-A",7826.31477606729,-0.0318042238537628,0.093466554109924,-0.340273846154193,0.733650311023503,0.984638338453376,"YOR298C-A",854474,"GO:0003713","O14467"
"YOL086C",50467.6710558935,-0.144051075257818,0.111072069106147,-1.29691538491242,0.194660302325395,0.870763097620382,"YOL086C",854068,"GO:0019170","P00330"
"YJL052W",36231.6918948769,0.301260878171085,0.112515966728376,2.67749446528205,0.00741750780342713,0.275684040027375,"YJL052W",853395,"GO:0004365","P00360"
"YJR104C",28564.2355311871,0.0184997464529589,0.137726495253508,0.134322349660515,0.893147680914593,0.984638338453376,"YJR104C",853568,"GO:0050821","P00445"
"YER055C",4396.94005299873,-0.0201034393107502,0.116059805449848,-0.173216207220314,0.862481484681706,0.984638338453376,"YER055C",856782,"GO:0000105","P00498"
"YBR160W",1044.07931025222,0.0217208992755029,0.195725132550699,0.110976546509051,0.911634945007168,0.984638338453376,"YBR160W",852457,"GO:0010898","P00546"
"YAL038W",73640.1214880278,0.0082812740717887,0.111081013002903,0.0745516614218514,0.940571435628393,0.984638338453376,"YAL038W",851193,"GO:0003824","P00549"
"YCR012W",85065.8177320965,-0.0727561771275321,0.0781721000546715,-0.930717955340184,0.351999479254384,0.940070465553624,"YCR012W",850370,"GO:0004618","P00560"
"YPL111W",1349.2692122783,0.172770995544004,0.166656188061883,1.0366911517252,0.299879817003329,0.906094223902712,"YPL111W",855993,"GO:0004053","P00812"
"YCL030C",7188.19527387808,-0.14209947179977,0.114167812168796,-1.24465441791665,0.213258807952944,0.87260026006434,"YCL030C",850327,"GO:0004635","P00815"
"YBR011C",26114.3818236926,-0.077570018288351,0.11387412554845,-0.681190901925719,0.495750704120754,0.984638338453376,"YBR011C",852296,"GO:0004427","P00817"
"YJR121W",15019.1392617117,0.0205828921978609,0.0999792228327036,0.205871696285362,0.836891134944704,0.984638338453376,"YJR121W",853585,"GO:1902600","P00830"
"YNR001C",3580.89121724826,0.344641539192746,0.167275910592879,2.06031781845471,0.0393681675890684,0.576058647222968,"YNR001C",855732,"GO:0004108","P00890"
"YER090W",3122.32883995833,-0.149520376646718,0.0857020433026445,-1.74465357983016,0.081045188183737,0.729732963013542,"YER090W",856824,"GO:0004049","P00899"
"YHR174W",37049.628996659,0.58055784768501,0.619098972874476,0.937746423628327,0.348374740226289,0.940070465553624,"YHR174W",856579,"GO:0009898","P00925"
"YER086W",4733.2881582889,0.0374818550706988,0.087585291205654,0.427946913856686,0.668689770279345,0.984638338453376,"YER086W",856819,"GO:0004794","P00927"
"YGL026C",2970.65209350498,0.00283284062016807,0.0984277047625907,0.0287809273517139,0.977039312347042,0.984638338453376,"YGL026C",852858,"GO:0004834","P00931"
